step,rh_FFJ1,rh_FFJ2
680,-1.632672,-0.000000
681,-1.552648,-0.000000
682,-2.046434,-0.000000
683,-2.086498,-0.000000
684,-1.999467,-0.000000
685,-1.984350,-0.000000
686,-1.581778,-0.000000
687,-1.625159,-0.000000
688,-1.193688,-0.000000
689,-1.206303,-0.000000
690,-0.628960,-0.000000
691,0.700342,-0.000000
692,1.334408,-0.000000
693,1.880553,-0.000000
694,2.311652,-0.000000
695,2.331028,-0.000000
696,2.547941,-0.000000
697,3.157822,-0.000000
698,3.372894,-0.000000
699,3.749263,-0.000000
700,4.080545,-0.000000
701,4.759818,-0.000000
702,5.627246,-0.000000
703,6.348925,-0.000000
704,5.618463,-0.000000
705,5.082640,-0.000000
706,4.372544,-0.000000
707,3.838219,-0.000000
708,3.298685,-0.000000
709,1.961853,-0.000000
710,1.529955,-0.000000
711,0.673019,-0.000000
712,2.183114,-0.000000
713,2.255752,-0.000000
714,2.152350,0.000000
715,1.715237,-0.000000
716,1.456259,-0.000000
717,1.414223,-0.000000
718,1.435634,-0.000000
719,0.982782,-0.000000
720,-0.222169,-0.000000
721,-0.477192,-0.000000
722,-0.881120,-0.000000
723,-1.476519,-0.000000
724,-1.377675,-0.000000
725,-1.802161,-0.000000
726,-1.957004,-0.000000
727,-1.650904,-0.000000
728,-1.620548,-0.000000
729,-1.542332,-0.000000
730,-2.176546,-0.000000
731,-2.226948,-0.000000
732,-2.378115,-0.000000
733,-2.005502,-0.000000
734,-1.591451,-0.000000
735,-1.708655,-0.000000
736,-1.467191,-0.000000
737,-0.865017,-0.000000
738,-0.788766,-0.000000
739,0.284670,-0.000000
740,0.780379,-0.000000
741,1.209115,-0.000000
742,1.780311,0.000000
743,2.561890,0.000000
744,3.084559,0.000000
745,3.262584,0.000000
746,3.538336,0.000000
747,4.077123,0.000000
748,4.208355,0.000000
749,4.632962,0.000000
750,4.741430,0.000000
751,4.712961,0.000000
752,4.657518,0.000000
753,4.106012,0.000000
754,3.576842,0.000000
755,2.743931,0.000000
756,2.442962,0.000000
757,2.123554,0.000000
758,2.267283,0.000000
759,2.358959,0.000000
760,2.396601,0.000000
761,2.327428,0.000000
762,2.584319,0.000000
763,1.994105,0.000000
764,2.278579,0.000000
765,2.700769,0.000000
766,2.722979,0.000000
767,2.845855,0.000000
768,2.994106,0.000000
